TERM,CAMPUS,XLST,CRN,DAYS,START,END,ROOM,Problem
202408,PA,,85244,MW,1130,1225,AA 1150,1
202408,PA,,85245,MW,1000,1115,AA 1150,1
202408,PE,,86495,MW,1000,1115,1N 1290,1
202408,PE,,86498,MW,1000,1055,1N 1270,1
202408,PE,,87628,TR,1000,1115,1N 1270,1
202408,PE,,87648,MW,830,945,1N 1290,1
